Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
FL_5-OtEfF3W1hCibhKzKfgw,UC_5-OtEfF3W1hCibhKzKfgw,2013-08-24 19:39:02 UTC,2016-08-27 22:51:30 UTC,Favorites,,Private

Video Id,Time Added
uxB8u1dwXHY,2016-08-27 22:51:30 UTC
g-jwWYX7Jlo,2015-06-03 16:51:45 UTC
6FMNFvKEy4c,2014-07-21 11:05:08 UTC

